TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2022-03-27,2022-06-25,19442000000.0,-6,1.2,2,1.2,2
AAPL,2021-03-28,2021-06-26,21744000000.0,-6,1.31,2,1.3,2
AAPL,2021-09-26,2022-06-25,79082000000.0,-6,4.86,2,4.82,2
AAPL,2020-09-27,2021-06-26,74129000000.0,-6,4.42,2,4.38,2
TradingSymbol,StartDate,EndDate,NetIncomeLoss,NetIncomeLoss_Decimals,EarningsPerShareBasic,EarningsPerShareBasic_Decimals,EarningsPerShareDiluted,EarningsPerShareDiluted_Decimals
AAPL,2022-03-27,2022-06-25,19442000000.0,-6,1.2,2,1.2,2
AAPL,2021-03-28,2021-06-26,21744000000.0,-6,1.31,2,1.3,2
AAPL,2021-09-26,2022-06-25,79082000000.0,-6,4.86,2,4.82,2
AAPL,2020-09-27,2021-06-26,74129000000.0,-6,4.42,2,4.38,2
